Seychelles,Aldabra,Alphonse,"Anse Aux Pins","Anse Boileau","Anse Etoile","Anse Royale",Aride,Assumption,Astove,"Au Cap","Baie Lazare","Beau Vallon","Bel Air",Belombre,Bijoutier,Bird,Cascade,"Cerf Island",Conception,Cosmoledo,Cousin,Cousine,Curieuse,Darros,Denis,Desnoeufs,Desroches,"English River",Farquhar,Felicite,Fregate,Glacis,"Grand Anse Mahe","Grande Soeur","Ile du Sud","La Digue","Les Mamelles",Marie-Louise,"Mont Buxton","Mont Fleuri","North Island","Petite Soeur",Plaisance,Platte,"Pointe Larue",Poivre,"Port Glaud",Praslin,Providence,Remire,"Roche Caiman",Silhouette,"St Louis","St. Francois","St. Joseph Atoll","St. Pierre","Ste Anne",Takamaka,Therese,Coetivy
1932,25.72,26.93,26.36,26.36,25.50,25.43,26.36,26.36,26.36,26.36,26.36,25.55,25.43,25.43,25.43,25.43,25.43,25.59,25.43,25.43,25.59,25.43,25.43,25.59,25.43,25.43,25.43,26.36,25.43,26.36,25.43,26.36,25.43,25.43,25.43,25.43,25.43,25.43,25.43,25.43,25.43,25.43,25.43,25.43,25.43,26.36,25.43,25.43,25.43,25.43,25.43,25.43,25.43,25.43,25.43,25.43,25.43,25.43,26.22,25.43,26.22
1933,25.69,26.93,26.33,26.33,25.47,25.40,26.33,26.33,26.33,26.33,26.33,25.52,25.40,25.40,25.40,25.40,25.40,25.56,25.40,25.40,25.56,25.40,25.40,25.56,25.40,25.40,25.40,26.33,25.40,26.33,25.40,26.33,25.40,25.40,25.40,25.40,25.40,25.40,25.40,25.40,25.40,25.40,25.40,25.40,25.40,26.33,25.40,25.40,25.40,25.40,25.40,25.40,25.40,25.40,25.40,25.40,25.40,25.40,26.19,25.40,26.19
1934,25.74,26.93,26.38,26.38,25.53,25.46,26.38,26.38,26.38,26.38,26.38,25.58,25.46,25.46,25.46,25.46,25.46,25.62,25.46,25.46,25.62,25.46,25.46,25.62,25.46,25.46,25.46,26.38,25.46,26.38,25.46,26.38,25.46,25.46,25.46,25.46,25.46,25.46,25.46,25.46,25.46,25.46,25.46,25.46,25.46,26.38,25.46,25.46,25.46,25.46,25.46,25.46,25.46,25.46,25.46,25.46,25.46,25.46,26.24,25.46,26.24
1935,25.73,26.93,26.37,26.37,25.52,25.45,26.37,26.37,26.37,26.37,26.37,25.57,25.45,25.45,25.45,25.45,25.45,25.61,25.45,25.45,25.61,25.45,25.45,25.61,25.45,25.45,25.45,26.37,25.45,26.37,25.45,26.37,25.45,25.45,25.45,25.45,25.45,25.45,25.45,25.45,25.45,25.45,25.45,25.45,25.45,26.37,25.45,25.45,25.45,25.45,25.45,25.45,25.45,25.45,25.45,25.45,25.45,25.45,26.23,25.45,26.23
1936,25.95,26.94,26.59,26.59,25.73,25.66,26.59,26.59,26.59,26.59,26.59,25.78,25.66,25.66,25.66,25.66,25.66,25.82,25.66,25.66,25.82,25.66,25.66,25.82,25.66,25.66,25.66,26.59,25.66,26.59,25.66,26.59,25.66,25.66,25.66,25.66,25.66,25.66,25.66,25.66,25.66,25.66,25.66,25.66,25.66,26.59,25.66,25.66,25.66,25.66,25.66,25.66,25.66,25.66,25.66,25.66,25.66,25.66,26.45,25.66,26.45
1937,25.86,26.93,26.50,26.50,25.65,25.58,26.50,26.50,26.50,26.50,26.50,25.70,25.58,25.58,25.58,25.58,25.58,25.74,25.58,25.58,25.74,25.58,25.58,25.74,25.58,25.58,25.58,26.50,25.58,26.50,25.58,26.50,25.58,25.58,25.58,25.58,25.58,25.58,25.58,25.58,25.58,25.58,25.58,25.58,25.58,26.50,25.58,25.58,25.58,25.58,25.58,25.58,25.58,25.58,25.58,25.58,25.58,25.58,26.36,25.58,26.36
1938,25.87,26.94,26.51,26.51,25.66,25.59,26.51,26.51,26.51,26.51,26.51,25.71,25.59,25.59,25.59,25.59,25.59,25.75,25.59,25.59,25.75,25.59,25.59,25.75,25.59,25.59,25.59,26.51,25.59,26.51,25.59,26.51,25.59,25.59,25.59,25.59,25.59,25.59,25.59,25.59,25.59,25.59,25.59,25.59,25.59,26.51,25.59,25.59,25.59,25.59,25.59,25.59,25.59,25.59,25.59,25.59,25.59,25.59,26.37,25.59,26.37
1939,25.57,26.94,26.21,26.21,25.36,25.29,26.21,26.21,26.21,26.21,26.21,25.41,25.29,25.29,25.29,25.29,25.29,25.45,25.29,25.29,25.45,25.29,25.29,25.45,25.29,25.29,25.29,26.21,25.29,26.21,25.29,26.21,25.29,25.29,25.29,25.29,25.29,25.29,25.29,25.29,25.29,25.29,25.29,25.29,25.29,26.21,25.29,25.29,25.29,25.29,25.29,25.29,25.29,25.29,25.29,25.29,25.29,25.29,26.07,25.29,26.07
1940,25.96,26.92,26.60,26.60,25.74,25.67,26.60,26.60,26.60,26.60,26.60,25.79,25.67,25.67,25.67,25.67,25.67,25.83,25.67,25.67,25.83,25.67,25.67,25.83,25.67,25.67,25.67,26.60,25.67,26.60,25.67,26.60,25.67,25.67,25.67,25.67,25.67,25.67,25.67,25.67,25.67,25.67,25.67,25.67,25.67,26.60,25.67,25.67,25.67,25.67,25.67,25.67,25.67,25.67,25.67,25.67,25.67,25.67,26.46,25.67,26.46
1941,26.49,27.09,27.13,27.13,26.27,26.20,27.13,27.13,27.13,27.13,27.13,26.32,26.20,26.20,26.20,26.20,26.20,26.36,26.20,26.20,26.36,26.20,26.20,26.36,26.20,26.20,26.20,27.13,26.20,27.13,26.20,27.13,26.20,26.20,26.20,26.20,26.20,26.20,26.20,26.20,26.20,26.20,26.20,26.20,26.20,27.13,26.20,26.20,26.20,26.20,26.20,26.20,26.20,26.20,26.20,26.20,26.20,26.20,26.99,26.20,26.99
